AKH Digital,,
Financial Model,,
,,
Tab,Description,Link
1,Dashboard,Click Here
2,At a Glance,Click Here
3,PL,Click Here
4,BS,Click Here
5,CF,Click Here
6,Assumption sheet,Click Here
7,Revenue Inputs,Click Here
8,Revenue Summary,Click Here
9,Tokeneconomics,Click Here
10,CAPEX,Click Here
11,COS,Click Here
12,OPEX,Click Here
13,Hiring Plan,Click Here
14,USE OF FUNDS,Click Here
15,Loan Amortization,Click Here
16,WC,Click Here
17,KPI,Click Here
18,Break Even Analysis,Click Here
19,LTV CAC,Click Here
